Imagem,Matriz,RMSE,PSNR,Correlacao
fuji_cinza,floyd_steinberg,110.33442687988281,7.276578449987696,0.45362731310736604
fuji_cinza,stevenson_arce,105.53131103515625,7.663175129675196,0.5311738435902247
fuji_cinza,burkes,109.01905822753906,7.380754017614649,0.47526830436255807
fuji_cinza,sierra,107.3752212524414,7.5127158401244145,0.5019630933504466
fuji_cinza,stucki,107.85347747802734,7.474118733190821,0.49406487269647426
fuji_cinza,jarvis_judice_ninke,107.14713287353516,7.531190418981836,0.5053988039143773
fuji_cinza,custom,109.7971420288086,7.318978810095118,0.4623170313035606
fuji,floyd_steinberg,107.87586212158203,7.47231438138418,0.5139822430852021
fuji,stevenson_arce,102.6720199584961,7.901761555456446,0.5841759074621748
fuji,burkes,106.4790267944336,7.585523152136133,0.5331763428164074
fuji,sierra,104.92139434814453,7.713517689489649,0.5542864135296255
fuji,stucki,105.26101684570312,7.685452961706446,0.5496597120497632
fuji,jarvis_judice_ninke,104.55609130859375,7.743817829870508,0.5591853071019591
fuji,custom,107.20769500732422,7.526284718298243,0.5231523449722555
baboon_colorida,floyd_steinberg,112.15885162353516,7.134130024694727,0.47688584910705145
baboon_colorida,stevenson_arce,105.50460815429688,7.665372395300196,0.5779698912838087
baboon_colorida,burkes,109.8643798828125,7.313661122106836,0.5124389475942794
baboon_colorida,sierra,107.5479507446289,7.498761677526758,0.5475878027798772
baboon_colorida,stucki,108.04379272460938,7.458806538366602,0.5401277325742978
baboon_colorida,jarvis_judice_ninke,107.10887145996094,7.534295582556055,0.5541660700429112
baboon_colorida,custom,111.10899353027344,7.215814137243555,0.4932441809930604
ldr-stare,floyd_steinberg,113.19615936279297,7.054166340612696,0.3695219388952144
ldr-stare,stevenson_arce,112.81810760498047,7.083226704382227,0.377254127734676
ldr-stare,burkes,113.1666030883789,7.056432270788477,0.37011139506113777
ldr-stare,sierra,113.0636215209961,7.064343952917383,0.37221824575366874
ldr-stare,stucki,113.09137725830078,7.062211537145899,0.3716049521507476
ldr-stare,jarvis_judice_ninke,113.03446197509766,7.066583180212305,0.3728497532873947
ldr-stare,custom,113.1679916381836,7.0563254592650395,0.370080828975268
